"";"FIELD_NAME";"CODE";"NAME";"CODE_URL"
"1";"TAXA";55387;"Esox lucius";"https://www.inaturalist.org/observations/104657781"
"2";"TAXA";130558;"Gentiana acaulis";"https://www.inaturalist.org/observations/104477995"
"3";"TAXA";734805;"Petrosedum rupestre";"https://www.inaturalist.org/observations/104166323"
"4";"TAXA";1081616;"Vulpes vulpes crucigera";"https://www.inaturalist.org/observations/103900795"
"5";"TAXA";46001;"Sciurus vulgaris";"https://www.inaturalist.org/observations/102229587"
"6";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962156"
"7";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962155"
"8";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962154"
"9";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962153"
"10";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962152"
"11";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962151"
"12";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962150"
"13";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962147"
"14";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962146"
"15";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962145"
"16";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962144"
"17";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962143"
"18";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962142"
"19";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962141"
"20";"TAXA";875949;"Apterona helicoidella";"https://www.inaturalist.org/observations/101962140"
